SA1_7DIGITCODE_2016,SA2_MAINCODE_2016
1100701,101021007
1100702,101021007
1100703,101021007
1100704,101021007
1100705,101021007
1100706,101021007
1100707,101021007
1100708,101021007
1100709,101021007
1100710,101021007
1100801,101021008
1100802,101021008
1100803,101021008
1100804,101021008
1100805,101021008
1100806,101021008
1100807,101021008
1100808,101021008
1100810,101021008
1100811,101021008
1100812,101021008
1100813,101021008
1100814,101021008
1100815,101021008
1100816,101021008
1100817,101021008
1100818,101021008
1100819,101021008
1100820,101021008
1100821,101021008
1100822,101021008
1100823,101021008
1100901,101021009
1100902,101021009
1100904,101021009
1100905,101021009
1100907,101021009
1100908,101021009
1100909,101021009
1100910,101021009
1100911,101021009
1100912,101021009
1100913,101021009
1100914,101021009
1100915,101021009
1100916,101021009
1100917,101021009
1100918,101021009
1100919,101021009
1100920,101021009
1100921,101021009
1100923,101021009
1100925,101021009
1100926,101021009
1100927,101021009
1100928,101021009
1100929,101021009
1101001,101021010
1101002,101021010
1101003,101021010
1101004,101021010
1101006,101021010
1101007,101021010
1101008,101021010
1101009,101021010
1101010,101021010
1101011,101021010
1101012,101021010
1101014,101021010
1101015,101021010
1101016,101021010
1101017,101021010
1101101,101021011
1101102,101021011
1101103,101021011
1101104,101021011
1101105,101021011
1101106,101021011
1101107,101021011
1101108,101021011
1101109,101021011
1101110,101021011
1101111,101021011
1101112,101021011
1101113,101021011
1101115,101021011
1101116,101021011
1101117,101021011
1101118,101021011
1101119,101021011
1101120,101021011
1101122,101021011
1101123,101021011
1101125,101021011
1101126,101021011
1101127,101021011
1101128,101021011
1101129,101021011
1101130,101021011
1101131,101021011
1101132,101021011
1101133,101021011
1101134,101021011
1101135,101021011
1101136,101021011
1101137,101021011
1101139,101021011
1101140,101021011
1101141,101021011
1101142,101021011
1101143,101021011
1101144,101021011
1101145,101021011
1101146,101021011
1101147,101021011
1101148,101021011
1101149,101021011
1101150,101021011
1101151,101021011
1101152,101021011
1101201,101021012
1101202,101021012
1101203,101021012
1101204,101021012
1101205,101021012
1101206,101021012
1101207,101021012
1101208,101021012
1101209,101021012
1101210,101021012
1101211,101021012
1101212,101021012
1101213,101021012
1101214,101021012
1101215,101021012
1101216,101021012
1101218,101021012
1101219,101021012
1101220,101021012
1101221,101021012
1101222,101021012
1101223,101021012
1101224,101021012
1101227,101021012
1101228,101021012
1101229,101021012
1101230,101021012
1101231,101021012
1101232,101021012
1101301,101031013
1101302,101031013
1101303,101031013
1101304,101031013
1101305,101031013
1101306,101031013
1101307,101031013
1101308,101031013
1101401,101031014
1101402,101031014
1101403,101031014
1101404,101031014
1101405,101031014
1101406,101031014
1101407,101031014
1101408,101031014
1101409,101031014
1101410,101031014
1101411,101031014
1101412,101031014
1101413,101031014
1101414,101031014
1101415,101031014
1101417,101031014
1101418,101031014
1101419,101031014
1101503,101031015
1101505,101031015
1101511,101031015
1101512,101031015
1101514,101031015
1101515,101031015
1101516,101031015
1101517,101031015
1101518,101031015
1101519,101031015
1101520,101031015
1101521,101031015
1101522,101031015
1101523,101031015
1101524,101031015
1101602,101031016
1101603,101031016
1101604,101031016
1101605,101031016
1101606,101031016
1101607,101031016
1101608,101031016
1101609,101031016
1101610,101031016
1101611,101031016
1101613,101031016
1101614,101031016
1101615,101031016
1101616,101031016
1101617,101031016
1101618,101031016
1101619,101031016
1101620,101031016
1101701,101041017
1101702,101041017
1101703,101041017
1101704,101041017
1101705,101041017
1101706,101041017
1101708,101041017
1101709,101041017
1101710,101041017
1101711,101041017
1101712,101041017
1101713,101041017
1101716,101041017
1101717,101041017
1101718,101041017
1101719,101041017
1101720,101041017
1101721,101041017
1101722,101041017
1101801,101041018
1101802,101041018
