SA2_MAINCODE_2016,SA3_CODE_2016
101021007,10102
101021008,10102
101021009,10102
101021010,10102
101021011,10102
101021012,10102
101031013,10103
101031014,10103
101031015,10103
101031016,10103
101041017,10104
101041018,10104
101041019,10104
101041020,10104
101041021,10104
101041023,10104
101041024,10104
101041025,10104
101041026,10104
101041027,10104
101051539,10105
101051540,10105
101061541,10106
101061542,10106
101061543,10106
101061544,10106
102011028,10201
102011029,10201
102011030,10201
102011031,10201
102011032,10201
102011033,10201
102011034,10201
102011035,10201
102011036,10201
102011037,10201
102011038,10201
102011039,10201
102011040,10201
102011041,10201
102011042,10201
102011043,10201
102021044,10202
102021045,10202
102021046,10202
102021047,10202
102021048,10202
102021049,10202
102021050,10202
102021051,10202
102021052,10202
102021053,10202
102021054,10202
102021055,10202
102021056,10202
102021057,10202
103011058,10301
103011059,10301
103011060,10301
103011061,10301
103021062,10302
103021063,10302
103021064,10302
103021065,10302
103021066,10302
103021067,10302
103021068,10302
103021069,10302
103031070,10303
103031071,10303
103031072,10303
103031073,10303
103031074,10303
103041076,10304
103041077,10304
103041078,10304
103041079,10304
104011080,10401
104011081,10401
104011082,10401
104021083,10402
104021084,10402
104021085,10402
104021086,10402
104021087,10402
104021088,10402
104021089,10402
104021090,10402
104021091,10402
105011092,10501
105011093,10501
105011094,10501
105011095,10501
105011096,10501
105021097,10502
105021098,10502
105031099,10503
105031100,10503
105031101,10503
105031102,10503
105031103,10503
105031104,10503
105031105,10503
105031106,10503
106011107,10601
106011108,10601
106011109,10601
106011110,10601
106011111,10601
106011112,10601
106011113,10601
106021114,10602
106021115,10602
106021116,10602
106021117,10602
106021118,10602
106031119,10603
106031120,10603
106031121,10603
106031122,10603
106031123,10603
106031124,10603
106031125,10603
106041126,10604
106041127,10604
106041128,10604
106041129,10604
107011131,10701
107011132,10701
107011134,10701
107011545,10701
107011546,10701
107011547,10701
107031136,10703
107031137,10703
107031138,10703
107031139,10703
107031140,10703
107031141,10703
107031142,10703
107031143,10703
107041144,10704
107041145,10704
107041146,10704
107041147,10704
107041148,10704
107041150,10704
107041548,10704
107041549,10704
108011151,10801
108011152,10801
108011153,10801
108011154,10801
108021155,10802
108021156,10802
108021157,10802
108021158,10802
108021159,10802
108021160,10802
108031161,10803
108041162,10804
108041163,10804
108041164,10804
108041165,10804
108041166,10804
108051167,10805
108051168,10805
108051169,10805
108051170,10805
108051171,10805
109011172,10901
109011173,10901
109011174,10901
109011175,10901
109011176,10901
109021177,10902
109021178,10902
109021179,10902
109031180,10903
109031181,10903
109031182,10903
109031183,10903
109031184,10903
109031185,10903
110011186,11001
110011187,11001
110011188,11001
110011189,11001
110021190,11002
110021191,11002
110021192,11002
110021193,11002
110021194,11002
110031195,11003
110031196,11003
110031197,11003
110031198,11003
110041199,11004
110041200,11004
110041201,11004
110041202,11004
110041203,11004
110041204,11004
110041205,11004
111011206,11101
111011207,11101
111011208,11101
111011209,11101
111011210,11101
111011211,11101
111011212,11101
111011213,11101
111011214,11101
111021215,11102
111021216,11102
111021217,11102
111021218,11102
111021219,11102
111021220,11102
111021221,11102
111031222,11103
111031223,11103
111031224,11103
111031225,11103
111031226,11103
111031227,11103
111031228,11103
111031229,11103
111031231,11103
111031232,11103
111031233,11103
111031234,11103
111031235,11103
112011236,11201
112011237,11201
112011238,11201
112011239,11201
112011240,11201
112011241,11201
112011242,11201
112011243,11201
112021244,11202
112021245,11202
112021246,11202
112021247,11202
112021248,11202
112021249,11202
112031250,11203
112031251,11203
112031252,11203
112031253,11203
112031254,11203
112031550,11203
112031551,11203
112031552,11203
113011256,11301
113011257,11301
113011258,11301
113011259,11301
113021260,11302
113021261,11302
113021262,11302
113031263,11303
113031264,11303
113031265,11303
113031266,11303
113031267,11303
113031268,11303
113031269,11303
113031270,11303
113031271,11303
114011272,11401
114011273,11401
114011274,11401
114011276,11401
114011277,11401
114011278,11401
114011279,11401
114011280,11401
114011281,11401
114011282,11401
114011283,11401
114021284,11402
114021285,11402
114021286,11402
114021287,11402
114021288,11402
114021289,11402
115011290,11501
115011291,11501
115011294,11501
115011296,11501
115011553,11501
