SA3_CODE_2016,SA4_CODE_2016
10102,101
10103,101
10104,101
10105,101
10106,101
10201,102
10202,102
10301,103
10302,103
10303,103
10304,103
10401,104
10402,104
10501,105
10502,105
10503,105
10601,106
10602,106
10603,106
10604,106
10701,107
10703,107
10704,107
10801,108
10802,108
10803,108
10804,108
10805,108
10901,109
10902,109
10903,109
11001,110
11002,110
11003,110
11004,110
11101,111
11102,111
11103,111
11201,112
11202,112
11203,112
11301,113
11302,113
11303,113
11401,114
11402,114
11501,115
11502,115
11503,115
11504,115
11601,116
11602,116
11603,116
11701,117
11702,117
11703,117
11801,118
11802,118
11901,119
11902,119
11903,119
11904,119
12001,120
12002,120
12003,120
12101,121
12102,121
12103,121
12104,121
12201,122
12202,122
12203,122
12301,123
12302,123
12303,123
12401,124
12403,124
12404,124
12405,124
12501,125
12502,125
12503,125
12504,125
12601,126
12602,126
12701,127
12702,127
12703,127
12801,128
12802,128
