src_SA1_7DIG16,nbr_SA1_7DIG16,LENGTH
1100701,1100709,0.33632879569453
1100701,1100710,0.613281515804333
1100701,1101118,0.174207793690659
1100702,1100703,0.037938465191655994
1100702,1100704,0.047123538152574
1100702,1100705,0.039826083905634004
1100702,1100707,0.172443139333825
1100702,1100708,0.325562195788812
1100702,1100709,0.17360605709780302
1100702,1100710,0.21372788776486198
1100703,1100702,0.037938465191655994
1100703,1100704,0.015834646971395
1100703,1100705,0.014476257415147
1100704,1100702,0.047123538152574
1100704,1100703,0.015834646971395
1100704,1100705,0.008447813249718002
1100705,1100702,0.039826083905634004
1100705,1100703,0.014476257415147
1100705,1100704,0.008447813249718002
1100706,1100707,0.26611479281926603
1100706,1100708,0.247209114757423
1100707,1100702,0.172443139333825
1100707,1100706,0.26611479281926603
1100707,1100708,0.477968268114712
1100707,1100710,0.153874459564731
1100707,1102201,0.21304985775450602
1100707,1102402,0.33118705105178803
1100707,1127501,0.013508739351523002
1100708,1100702,0.325562195788812
1100708,1100706,0.247209114757423
1100708,1100707,0.477968268114712
1100708,1100709,0.12445833581102801
1100708,1101107,0.26828648115260395
1100708,1101113,0.031201922874359
1100708,1101116,0.429152213032745
1100708,1102201,0.42967277727977604
1100709,1100701,0.33632879569453
1100709,1100702,0.17360605709780302
1100709,1100708,0.12445833581102801
1100709,1100710,0.159800998585914
1100709,1101112,0.089677501776716
1100709,1101113,0.231490404612566
1100709,1101118,0.0028727120503369997
1100710,1100701,0.613281515804333
1100710,1100702,0.21372788776486198
1100710,1100707,0.153874459564731
1100710,1100709,0.159800998585914
1100710,1127501,0.9416809251728
1100801,1100802,0.003138397658533
1100801,1100814,0.006977176160241
1100801,1100819,0.001675368645823
1100801,1100820,0.003494878268315
1100802,1100801,0.003138397658533
1100802,1100804,0.003340202882383
1100802,1100811,0.004958772037709001
1100802,1100814,0.00303969994185
1100802,1100818,0.001868627955567
1100802,1100820,0.0017611121078739999
1100802,1101002,0.005596527021050999
1100803,1100804,0.0051248900449020005
1100803,1100805,0.0020800153261120004
1100803,1100808,0.003090968939739
1100803,1100816,0.005649299455948001
1100803,1100818,0.0
1100803,1100823,0.0
1100804,1100802,0.003340202882383
1100804,1100803,0.0051248900449020005
1100804,1100805,0.0060119212636
1100804,1100816,0.0
1100804,1100818,0.004095297258706
1100804,1100820,0.0033903318172950002
1100805,1100803,0.0020800153261120004
1100805,1100804,0.0060119212636
1100805,1100806,0.007756185144097
1100805,1100808,0.0
1100805,1100820,0.000772588464525
1100805,1100823,0.0016703556855850001
1100806,1100805,0.007756185144097
1100806,1100810,0.003739013394347
1100806,1100820,0.000775817429537
1100806,1100821,0.0039024147755320005
1100806,1100822,0.001959742903185
1100806,1100823,0.001127917342968
1100807,1100808,0.006787399800761999
1100807,1100815,0.004825975047319
1100807,1100916,0.0024782030650949997
1100807,1101209,0.0005064581033619999
1100807,1101219,0.0032481466765259997
1100807,1101220,0.003689120971275
1100808,1100803,0.003090968939739
1100808,1100805,0.0
1100808,1100807,0.006787399800761999
1100808,1100815,0.0029048721824640003
1100808,1100816,0.00053809276328
1100808,1100823,0.0038305590545749998
1100810,1100806,0.003739013394347
1100810,1100822,0.002151972546861
1100810,1100823,0.001067771469599
1100811,1100802,0.004958772037709001
1100811,1100817,0.002701676341355
1100811,1100818,0.0005527009917349999
1100811,1100913,0.005279550726397
