OBJECTID,src_SA2_MAIN16,nbr_SA2_MAIN16,src_SA2_5DIG16,nbr_SA2_5DIG16,src_SA2_NAME16,nbr_SA2_NAME16,LENGTH,NODE_COUNT
1,101021007,101021011,11007,11011,Braidwood,Queanbeyan Region,136.423768455333260,0
2,101021007,101031015,11007,11015,Braidwood,Cooma Region,25.970845590496872,0
3,101021007,101041022,11007,11022,Braidwood,Deua - Wadbilliga,71.467461023752733,0
4,101021007,101041024,11007,11024,Braidwood,Eurobodalla Hinterland,36.826301873999476,0
5,101021007,101051540,11007,11540,Braidwood,Goulburn Region,58.282197050621988,0
6,101021007,114011275,11007,11275,Braidwood,Ettrema - Sassafras - Budawang,106.212192765221290,0
7,101021008,101021009,11008,11009,Karabar,Queanbeyan,2.273342823284251,0
8,101021008,101021010,11008,11010,Karabar,Queanbeyan - East,5.349457120286187,0
9,101021008,101021011,11008,11011,Karabar,Queanbeyan Region,4.302804606868346,0
10,101021008,101021012,11008,11012,Karabar,Queanbeyan West - Jerrabomberra,3.490672654625339,0
11,101021009,101021010,11009,11010,Queanbeyan,Queanbeyan - East,3.754357049030789,0
12,101021009,101021012,11009,11012,Queanbeyan,Queanbeyan West - Jerrabomberra,2.924564015166717,0
13,101021009,801031113,11009,81113,Queanbeyan,Canberra East,2.922873216905737,0
14,101021009,801031115,11009,81115,Queanbeyan,Majura,0.008566270657947,0
15,101021010,101021011,11010,11011,Queanbeyan - East,Queanbeyan Region,7.071585064212135,0
16,101021010,801031032,11010,81032,Queanbeyan - East,Kowen,3.636706808916919,0
17,101021010,801031115,11010,81115,Queanbeyan - East,Majura,1.265008187755316,0
18,101021011,101021012,11011,11012,Queanbeyan Region,Queanbeyan West - Jerrabomberra,9.618084906365580,0
19,101021011,101031015,11011,11015,Queanbeyan Region,Cooma Region,89.977215874037952,0
20,101021011,101051540,11011,11540,Queanbeyan Region,Goulburn Region,67.484946238376978,0
21,101021011,101061542,11011,11542,Queanbeyan Region,Yass Region,37.923902273094647,0
22,101021011,801031031,11011,81031,Queanbeyan Region,Hume,4.032312220743743,0
23,101021011,801031032,11011,81032,Queanbeyan Region,Kowen,42.099909795354492,0
24,101021011,801031115,11011,81115,Queanbeyan Region,Majura,15.962069140719576,0
25,101021011,801041116,11011,81116,Queanbeyan Region,Gungahlin - East,0.017129568758570,0
26,101021011,801071089,11011,81089,Queanbeyan Region,Tuggeranong,30.775013169108735,0
27,101021011,801111141,11011,81141,Queanbeyan Region,Namadgi,30.385067913853778,0
28,101021012,801031031,11012,81031,Queanbeyan West - Jerrabomberra,Hume,2.331732604358858,0
29,101021012,801031113,11012,81113,Queanbeyan West - Jerrabomberra,Canberra East,3.103143590302442,0
30,101031013,101031015,11013,11015,Bombala,Cooma Region,88.223372693522776,0
31,101031013,101031016,11013,11016,Bombala,Jindabyne - Berridale,155.940179197484840,0
32,101031013,101041020,11013,11020,Bombala,Bega-Eden Hinterland,144.200173190870000,0
33,101031013,101041022,11013,11022,Bombala,Deua - Wadbilliga,7.252996848302242,0
34,101031013,205021085,11013,21085,Bombala,Orbost,111.894323534131540,0
35,101031014,101031015,11014,11015,Cooma,Cooma Region,60.562152517955212,0
36,101031015,101031016,11015,11016,Cooma Region,Jindabyne - Berridale,210.237369619391360,0
37,101031015,101041022,11015,11022,Cooma Region,Deua - Wadbilliga,126.294960509162290,0
38,101031015,113021260,11015,11260,Cooma Region,Tumbarumba,31.014658489033902,0
39,101031015,113021262,11015,11262,Cooma Region,Tumut Region,86.324454190207305,0
40,101031015,801111141,11015,81141,Cooma Region,Namadgi,78.307883505553406,0
41,101031016,113021260,11016,11260,Jindabyne - Berridale,Tumbarumba,130.520104551591520,0
42,101031016,205021080,11016,21080,Jindabyne - Berridale,Alps - East,6.070610942358495,0
43,101031016,205021085,11016,21085,Jindabyne - Berridale,Orbost,20.505155433269898,0
44,101041017,101041018,11017,11018,Batemans Bay,Batemans Bay - South,3.710802400389802,0
45,101041017,101041024,11017,11024,Batemans Bay,Eurobodalla Hinterland,59.126335807616243,0
46,101041018,101041021,11018,11021,Batemans Bay - South,Broulee - Tomakin,2.788986634934303,0
