src_SA1_7DIG16,nbr_SA1_7DIG16
1100701,1101118
1100701,1154004
1100701,1154002
1100701,1100709
1100701,1100710
1100702,1100703
1100702,1100705
1100702,1100704
1100702,1100709
1100702,1100710
1100702,1100708
1100702,1100707
1100703,1100705
1100703,1100704
1100703,1100702
1100704,1100703
1100704,1100705
1100704,1100702
1100705,1100703
1100705,1100704
1100705,1100702
1100706,1100708
1100706,1100707
1100707,1127501
1100707,1100710
1100707,1100708
1100707,1100706
1100707,1100702
1100707,1102402
1100707,1102201
1100708,1100709
1100708,1100707
1100708,1100706
1100708,1100702
1100708,1101113
1100708,1101116
1100708,1101107
1100708,1101520
1100708,1102201
1100709,1101112
1100709,1101118
1100709,1100701
1100709,1100710
1100709,1100708
1100709,1100702
1100709,1101113
1100710,1154002
1100710,1127501
1100710,1100709
1100710,1100701
1100710,1100707
1100710,1100702
1100801,1100802
1100801,1100814
1100801,1100819
1100801,1100820
1100801,1100809
1100802,1100804
1100802,1100818
1100802,1100811
1100802,1100814
1100802,1101002
1100802,1100820
1100802,1100801
1100803,1100805
1100803,1100804
1100803,1100823
1100803,1100808
1100803,1100818
1100803,1100816
1100804,1100805
1100804,1100818
1100804,1100802
1100804,1100803
1100804,1100816
1100804,1100820
1100805,1100804
1100805,1100823
1100805,1100808
1100805,1100806
1100805,1100803
1100805,1100820
1100806,1100805
1100806,1100823
1100806,1100822
1100806,1100821
1100806,1100810
1100806,1100820
1100807,1101219
1100807,1100808
1100807,1100916
1100807,1101225
1100807,1101209
1100807,1101220
1100807,1100815
1100808,1100805
1100808,1100807
1100808,1100823
1100808,1101225
1100808,1100803
1100808,1100816
1100808,1100815
1100809,1100823
1100809,1101212
1100809,1101211
1100809,1101225
1100809,1101203
1100809,1101122
1100809,1100822
1100809,1100821
1100809,1100810
1100809,1100814
1100809,1100813
1100809,1100812
1100809,1100819
1100809,1101128
1100809,1101150
1100809,1100801
1100809,1101013
1100810,1100823
1100810,1100822
1100810,1100806
1100810,1100809
1100811,1100818
1100811,1100817
1100811,1100802
1100811,1100913
1100811,1101002
1100811,1101003
1100812,1100813
1100812,1101002
1100812,1100809
1100812,1101013
1100813,1100814
1100813,1100812
1100813,1101002
1100813,1100809
1100814,1100802
1100814,1100813
1100814,1101002
1100814,1100801
1100814,1100809
1100815,1100915
1100815,1100807
1100815,1100808
1100815,1100916
1100815,1100816
1100816,1100915
1100816,1100804
1100816,1100808
1100816,1100916
1100816,1100914
1100816,1100818
1100816,1100817
1100816,1100803
1100816,1100815
1100817,1100915
1100817,1100914
1100817,1100818
1100817,1100913
1100817,1100811
1100817,1100816
1100818,1100804
1100818,1100817
1100818,1100802
1100818,1100811
1100818,1100803
1100818,1100816
1100819,1100821
1100819,1100820
1100819,1100801
1100819,1100809
1100820,1100805
1100820,1100804
1100820,1100802
1100820,1100821
1100820,1100806
1100820,1100819
1100820,1100801
1100821,1100822
1100821,1100806
1100821,1100819
1100821,1100820
1100821,1100809
1100822,1100821
1100822,1100810
1100822,1100806
1100822,1100809
1100823,1100805
1100823,1100808
1100823,1101225
1100823,1100810
1100823,1100806
1100823,1100803
1100823,1100809
