,SA1_7DIGIT,Neighbour
0,1100701,1101118
1,1100701,1154004
2,1100701,1154002
3,1100701,1100709
4,1100701,1100710
5,1100702,1100703
6,1100702,1100705
7,1100702,1100704
8,1100702,1100709
9,1100702,1100710
10,1100702,1100708
11,1100702,1100707
12,1100703,1100705
13,1100703,1100704
14,1100703,1100702
15,1100704,1100703
16,1100704,1100705
17,1100704,1100702
18,1100705,1100703
19,1100705,1100704
20,1100705,1100702
21,1100706,1100708
22,1100706,1100707
23,1100707,1127501
24,1100707,1100710
25,1100707,1100708
26,1100707,1100706
27,1100707,1100702
28,1100707,1102402
29,1100707,1102201
30,1100708,1100709
31,1100708,1100707
32,1100708,1100706
33,1100708,1100702
34,1100708,1101113
35,1100708,1101116
36,1100708,1101107
37,1100708,1101520
38,1100708,1102201
39,1100709,1101112
40,1100709,1101118
41,1100709,1100701
42,1100709,1100710
43,1100709,1100708
44,1100709,1100702
45,1100709,1101113
46,1100710,1154002
47,1100710,1127501
48,1100710,1100709
49,1100710,1100701
50,1100710,1100707
51,1100710,1100702
52,1100801,1100802
53,1100801,1100814
54,1100801,1100819
55,1100801,1100820
56,1100801,1100809
57,1100802,1100804
58,1100802,1100818
59,1100802,1100811
60,1100802,1100814
61,1100802,1101002
62,1100802,1100820
63,1100802,1100801
64,1100803,1100805
65,1100803,1100804
66,1100803,1100823
67,1100803,1100808
68,1100803,1100818
69,1100803,1100816
70,1100804,1100805
71,1100804,1100818
72,1100804,1100802
73,1100804,1100803
74,1100804,1100816
75,1100804,1100820
76,1100805,1100804
77,1100805,1100823
78,1100805,1100808
79,1100805,1100806
80,1100805,1100803
81,1100805,1100820
82,1100806,1100805
83,1100806,1100823
84,1100806,1100822
85,1100806,1100821
86,1100806,1100810
87,1100806,1100820
88,1100807,1101219
89,1100807,1100808
90,1100807,1100916
91,1100807,1101225
92,1100807,1101209
93,1100807,1101220
94,1100807,1100815
95,1100808,1100805
96,1100808,1100807
97,1100808,1100823
98,1100808,1101225
99,1100808,1100803
100,1100808,1100816
101,1100808,1100815
102,1100809,1100823
103,1100809,1101212
104,1100809,1101211
105,1100809,1101225
106,1100809,1101203
107,1100809,1101122
108,1100809,1100822
109,1100809,1100821
110,1100809,1100810
111,1100809,1100814
112,1100809,1100813
113,1100809,1100812
114,1100809,1100819
115,1100809,1101128
116,1100809,1101150
117,1100809,1100801
118,1100809,1101013
119,1100810,1100823
120,1100810,1100822
121,1100810,1100806
122,1100810,1100809
123,1100811,1100818
124,1100811,1100817
125,1100811,1100802
126,1100811,1100913
127,1100811,1101002
128,1100811,1101003
129,1100812,1100813
130,1100812,1101002
131,1100812,1100809
132,1100812,1101013
133,1100813,1100814
134,1100813,1100812
135,1100813,1101002
136,1100813,1100809
137,1100814,1100802
138,1100814,1100813
139,1100814,1101002
140,1100814,1100801
141,1100814,1100809
142,1100815,1100915
143,1100815,1100807
144,1100815,1100808
145,1100815,1100916
146,1100815,1100816
147,1100816,1100915
148,1100816,1100804
149,1100816,1100808
150,1100816,1100916
151,1100816,1100914
152,1100816,1100818
153,1100816,1100817
154,1100816,1100803
155,1100816,1100815
156,1100817,1100915
157,1100817,1100914
158,1100817,1100818
159,1100817,1100913
160,1100817,1100811
161,1100817,1100816
162,1100818,1100804
163,1100818,1100817
164,1100818,1100802
165,1100818,1100811
166,1100818,1100803
167,1100818,1100816
168,1100819,1100821
169,1100819,1100820
170,1100819,1100801
171,1100819,1100809
172,1100820,1100805
173,1100820,1100804
174,1100820,1100802
175,1100820,1100821
176,1100820,1100806
177,1100820,1100819
178,1100820,1100801
179,1100821,1100822
180,1100821,1100806
181,1100821,1100819
182,1100821,1100820
183,1100821,1100809
184,1100822,1100821
185,1100822,1100810
186,1100822,1100806
187,1100822,1100809
188,1100823,1100805
189,1100823,1100808
190,1100823,1101225
191,1100823,1100810
192,1100823,1100806
193,1100823,1100803
194,1100823,1100809
195,1100901,1100918
196,1100901,1100912
197,1100901,1100921
198,1100901,1100920
199,1100901,1100907
200,1100901,1100919
201,1100901,1100905
202,1100902,1100912
203,1100902,1100907
204,1100902,1100911
205,1100902,1100905
206,1100902,1100904
207,1100902,1100923
208,1100904,1101219
209,1100904,1100905
210,1100904,1100902
211,1100904,1100923
212,1100904,1101208
213,1100905,1100918
214,1100905,1101219
215,1100905,1100916
216,1100905,1100912
217,1100905,1100901
218,1100905,1100902
219,1100905,1100904
220,1100907,1100912
221,1100907,1100925
222,1100907,1100921
223,1100907,1100901
224,1100907,1100911
225,1100907,1100908
226,1100907,1100909
227,1100907,1100902
228,1100907,1100923
229,1100908,1100925
230,1100908,1100921
231,1100908,1100928
232,1100908,1100907
233,1100908,1100911
234,1100908,1100909
235,1100909,1100907
236,1100909,1100911
237,1100909,1100908
238,1100909,1100910
239,1100910,1100927
240,1100910,1100911
241,1100910,1100909
242,1100911,1100927
243,1100911,1100907
244,1100911,1100908
245,1100911,1100909
246,1100911,1100910
247,1100911,1100902
248,1100911,1100923
249,1100912,1100918
250,1100912,1100921
251,1100912,1100901
252,1100912,1100907
253,1100912,1100905
254,1100912,1100902
255,1100913,1100914
256,1100913,1100817
257,1100913,1100917
258,1100913,1100811
259,1100913,1101003
260,1100914,1100915
261,1100914,1100918
262,1100914,1100817
263,1100914,1100917
264,1100914,1100913
265,1100914,1100816
266,1100914,1100919
267,1100915,1100918
268,1100915,1100916
269,1100915,1100914
270,1100915,1100817
271,1100915,1100816
272,1100915,1100815
273,1100916,1100915
274,1100916,1100918
275,1100916,1100807
276,1100916,1101219
277,1100916,1100816
278,1100916,1100905
279,1100916,1100815
280,1100917,1100914
281,1100917,1100913
282,1100917,1101003
283,1100917,1101006
284,1100917,1101008
285,1100917,1100919
286,1100917,1100924
287,1100917,1100926
288,1100918,1100915
289,1100918,1101219
290,1100918,1100916
291,1100918,1100912
292,1100918,1100914
293,1100918,1100901
294,1100918,1100919
295,1100918,1100905
296,1100919,1100918
297,1100919,1100914
298,1100919,1100917
299,1100919,1100921
300,1100919,1100920
301,1100919,1100929
302,1100919,1100901
303,1100919,1100924
304,1100920,1100925
305,1100920,1100921
306,1100920,1100928
307,1100920,1100929
308,1100920,1100901
309,1100920,1100919
310,1100920,1100924
311,1100921,1100912
312,1100921,1100925
313,1100921,1100920
314,1100921,1100901
315,1100921,1100907
316,1100921,1100908
317,1100921,1100919
318,1100923,1100927
319,1100923,1100907
320,1100923,1100911
321,1100923,1100902
322,1100923,1100904
323,1100923,1101208
324,1100924,1100917
325,1100924,1100920
326,1100924,1100929
327,1100924,1100919
328,1100924,1100926
329,1100925,1100921
330,1100925,1100928
331,1100925,1100920
332,1100925,1100907
333,1100925,1100908
334,1100926,1100917
335,1100926,1101006
