,SA2_MAIN16,Neighbour0
0,101021007,101041024
1,101021007,101021011
2,101021007,114011275
3,101021007,101051540
4,101021007,101041022
5,101021007,101031015
6,101021008,101021011
7,101021008,101021012
8,101021008,101021010
9,101021008,101021009
10,101021009,101021012
11,101021009,101021010
12,101021009,101021008
13,101021010,101021011
14,101021010,101021008
15,101021010,101021009
16,101021011,101021007
17,101021011,101021012
18,101021011,101051540
19,101021011,101031015
20,101021011,101061542
21,101021011,101021010
22,101021011,101021008
23,101021012,101021011
24,101021012,101021008
25,101021012,101021009
26,101031013,101041020
27,101031013,101031016
28,101031013,101041022
29,101031013,101031015
30,101031014,101031015
31,101031015,101021007
32,101031015,101021011
33,101031015,101031013
34,101031015,101031016
35,101031015,101041022
36,101031015,101031014
37,101031015,113021260
38,101031015,113021262
39,101031016,101031013
40,101031016,101031015
41,101031016,113021260
42,101041017,101041024
43,101041017,101041018
44,101041018,101041024
45,101041018,101041017
46,101041018,101041021
47,101041019,101041025
48,101041019,101041020
49,101041020,101041025
50,101041020,101041023
51,101041020,101041027
52,101041020,101031013
53,101041020,101041019
54,101041020,101041022
55,101041021,101041024
56,101041021,101041026
57,101041021,101041018
58,101041022,101041024
59,101041022,101021007
60,101041022,101041027
61,101041022,101041020
62,101041022,101031013
63,101041022,101031015
64,101041023,101041025
65,101041023,101041020
66,101041024,101041026
67,101041024,101021007
68,101041024,114011283
69,101041024,114011275
70,101041024,101041017
71,101041024,101041021
72,101041024,101041018
73,101041024,101041027
74,101041024,101041022
75,101041025,101041023
76,101041025,101041020
77,101041025,101041019
78,101041026,101041024
79,101041026,101041021
80,101041027,101041024
81,101041027,101041020
82,101041027,101041022
83,101051539,101051540
84,101051540,103011060
85,101051540,103011061
86,101051540,103021064
87,101051540,114021288
88,101051540,124021456
89,101051540,101021007
90,101051540,101021011
91,101051540,114011275
92,101051540,101051539
93,101051540,114021289
94,101051540,101061542
95,101051540,101061544
96,101061541,101061542
97,101061542,101021011
98,101061542,101051540
99,101061542,113021262
100,101061542,101061541
101,101061542,101061544
102,101061542,113031263
103,101061542,113031264
104,101061543,101061544
105,101061544,103021064
106,101061544,103021066
107,101061544,103021069
108,101061544,113031266
109,101061544,101051540
110,101061544,101061542
111,101061544,101061543
112,101061544,113031263
113,102011028,102011029
114,102011028,102011034
115,102011028,102011039
116,102011029,102011040
117,102011029,102011042
118,102011029,102011028
119,102011029,102011034
120,102011030,115021297
121,102011030,115021298
122,102011030,106011109
123,102011030,102011033
124,102011030,102011040
125,102011030,102011042
126,102011030,102011035
127,102011030,115031299
128,102011030,102011032
129,102011030,102011036
130,102011030,102021051
131,102011030,102021049
132,102011031,102011038
133,102011031,102011034
134,102011031,102011043
135,102011031,102011032
136,102011031,102011036
137,102011031,102011039
138,102011031,102021047
139,102011031,102011041
140,102011032,102011033
141,102011032,102011030
142,102011032,102011037
143,102011032,102011035
144,102011032,102011043
145,102011032,102011031
146,102011033,102011030
147,102011033,102011042
148,102011033,102011037
149,102011033,102011032
150,102011034,102011029
151,102011034,102011038
152,102011034,102011028
153,102011034,102011031
154,102011034,102011039
155,102011035,102011030
156,102011035,102011043
157,102011035,102011032
158,102011035,102011036
159,102011036,102011030
160,102011036,102011035
161,102011036,102011043
162,102011036,102011031
163,102011036,102021047
164,102011036,102021051
165,102011037,102011033
166,102011037,102011042
167,102011037,102011032
168,102011038,102011034
169,102011038,102011031
170,102011039,102011028
171,102011039,102011034
172,102011039,102011031
173,102011039,102011041
174,102011040,102011030
175,102011040,102011029
176,102011040,102011042
177,102011041,102011031
178,102011041,102011039
179,102011041,102021047
180,102011041,102021044
181,102011042,102011033
182,102011042,102011030
183,102011042,102011040
184,102011042,102011029
185,102011042,102011037
186,102011043,102011035
187,102011043,102011032
188,102011043,102011036
189,102011043,102011031
190,102021044,102021047
191,102021044,102011041
192,102021044,102021053
193,102021045,102021046
194,102021045,102021050
195,102021045,102021048
196,102021045,102021056
197,102021045,102021049
198,102021045,111021218
199,102021046,102021054
200,102021046,102021050
201,102021046,102021045
202,102021047,102011036
203,102021047,102011031
204,102021047,102011041
205,102021047,102021044
206,102021047,102021055
207,102021047,102021051
208,102021048,102021057
209,102021048,102021056
210,102021048,102021045
211,102021049,106011109
212,102021049,102011030
213,102021049,102021055
214,102021049,102021057
215,102021049,102021051
216,102021049,102021056
217,102021049,102021045
218,102021049,111021218
219,102021050,102021046
220,102021050,102021052
221,102021050,111011212
222,102021050,102021045
223,102021050,111021218
224,102021051,102011030
225,102021051,102011036
226,102021051,102021047
227,102021051,102021055
228,102021051,102021049
229,102021052,102021050
230,102021053,102021054
231,102021053,102021044
232,102021054,102021046
233,102021054,102021053
234,102021055,102021047
235,102021055,102021057
236,102021055,102021051
237,102021055,102021049
238,102021056,102021057
239,102021056,102021048
240,102021056,102021045
241,102021056,102021049
242,102021057,102021055
243,102021057,102021048
244,102021057,102021056
245,102021057,102021049
246,103011058,103011060
247,103011058,103011059
248,103011059,103011060
249,103011059,103011058
250,103011060,103031073
251,103011060,103031074
252,103011060,103041076
253,103011060,103011061
254,103011060,103011058
255,103011060,103011059
256,103011060,103031071
257,103011060,103021064
258,103011060,103041079
259,103011060,101051540
260,103011061,103011060
261,103011061,103031071
262,103011061,124011449
263,103011061,124021456
264,103011061,101051540
265,103021062,105031105
266,103021062,103021069
267,103021062,103021065
268,103021062,113011257
269,103021062,105011093
270,103021062,105011095
271,103021062,103021068
272,103021063,103021064
273,103021064,103041076
274,103021064,103011060
275,103021064,103041079
276,103021064,103021063
277,103021064,103021066
278,103021064,103021065
279,103021064,101051540
280,103021064,101061544
281,103021065,103021064
282,103021065,103041079
283,103021065,103021066
284,103021065,103021069
285,103021065,103021067
286,103021065,103021062
287,103021065,103021068
288,103021066,103021064
289,103021066,103021069
290,103021066,103021065
291,103021066,101061544
292,103021067,103021065
293,103021067,103021068
294,103021068,103041079
295,103021068,105031105
296,103021068,105031103
297,103021068,103021065
298,103021068,103021067
299,103021068,103021062
300,103021069,103021066
301,103021069,103021065
302,103021069,113011257
303,103021069,103021062
304,103021069,113011259
305,103021069,113031266
306,103021069,101061544
307,103031070,103031075
308,103031070,103031071
309,103031071,103031073
310,103031071,103031070
311,103031071,103031075
312,103031071,103011060
313,103031071,103011061
314,103031071,124011449
315,103031072,103031074
316,103031073,103031074
317,103031073,106041127
318,103031073,106041129
319,103031073,103031075
320,103031073,103011060
321,103031073,103031071
322,103031074,103031072
323,103031074,103031073
324,103031074,105031099
325,103031074,106041129
326,103031074,103011060
327,103031074,103041079
328,103031074,105031106
329,103031074,105031103
330,103031075,103031073
331,103031075,106011113
332,103031075,106041127
333,103031075,103031070
334,103031075,124011451
335,103031075,115031299
336,103031075,103031071
337,103031075,124011449
338,103041076,103011060
339,103041076,103021064
340,103041076,103041079
341,103041077,103041078
342,103041077,103041079
343,103041078,103041077
344,103041078,103041079
345,103041079,103031074
346,103041079,103041076
347,103041079,103041078
348,103041079,103041077
349,103041079,103011060
350,103041079,103021064
351,103041079,105031106
352,103041079,105031103
353,103041079,103021065
354,103041079,103021068
355,104011080,104011081
356,104011081,104021091
357,104011081,104011082
358,104011081,110021194
359,104011081,110021190
360,104011081,112021245
361,104011081,104011080
362,104011081,104021086
363,104011081,110011187
364,104011081,104021087
365,104011082,112011241
366,104011082,104011081
367,104011082,112021245
368,104021083,104021089
369,104021083,104021090
370,104021083,104021086
371,104021083,110011187
372,104021083,108021156
373,104021083,108021159
374,104021083,104021087
