"SA1_2016","AREA_SKM","FEMALE","BORN_ELSEWHERE","NON_ENGLISH_LANGUGE","HIGH_SCHOOL_COMPLETE","AGE_UNDER_15","AGE_15_24","AGE_25_34","AGE_35_44","AGE_45_64","AGE_OVER_65","HIGH_SCHOOL_TOTAL","MEDIAN_AGE","MEDIAN_MORTGAGE_REPAY","MEDIAN_TOT_PRSNL_INC","MEDIAN_RENT","MEDIAN_TOT_FAM_INC","AVERAGE_NUM_PSNS_PER","MEDIAN_TOT_HHD","AVERAGE_HOUSEHOLD_SIZE","LEVERAGE_RATIO","MARRIED","DEFACTOR","NOT_MARRIED","AUSTRALIAN_TOTAL","AUSTRALIAN_ABORIGINAL_TOTAL","CHINESE_TOTAL","CROATIAN_TOTAL","DUTCH_TOTAL","ENGLISH_TOTAL","FILIPINO_TOTAL","FRENCH_TOTAL","GERMAN_TOTAL","GREEK_TOTAL","HUNGARIAN_TOTAL","INDIAN_TOTAL","IRISH_TOTAL","ITALIAN_TOTAL","KOREAN_TOTAL","LEBANESE_TOTAL","MACEDONIAN_TOTAL","MALTESE_TOTAL","MAORI_TOTAL","NEW_ZEALANDER_TOTAL","POLISH_TOTAL","RUSSIAN_TOTAL","SCOTTISH_TOTAL","SERBIAN_TOTAL","SOUTH_AFRICAN_TOTAL","SPANISH_TOTAL","SRI_LANKAN_TOTAL","TURKISH_TOTAL","VIETNAMESE_TOTAL","WELSH_TOTAL","OTHER_TOTAL","LOW_ENGLISH","CHRISTIANITY","ISLAM","HINDUISM","JUDAISM","BUDDHISM","OTHER_RELIGION","NO_RELIGION","FAMILY_COUPLE_CHILDREN_DEPENDENTS","ONE_PARENT_FAMILIES","Owned_outright_Total","Owned_with_a_mortgage_Total","Rented_Real_Estate_Agent_Total","HOUSING_PUBLIC_HOUSING","HOUSING_SHARE_HOUSE","HOUSING_CO_OPERATIVE","HOUSING_RENTAL","NO_INTERNET_TOTAL","LABOUR_FORCE","LABOUR_FORCE","DIFF_ADDRESS_1YR","DIFF_ADDRESS_5YR","DIPLOMA_ABOVE","AGRICULTURE_TOTAL","MINING_TOTAL","MANUFACTURING_TOTAL","CONSTRUCTION_TOTAL","RETAIL_TOTAL","REAL_ESTATE_TOTAL","ADMIN_TOTAL","PUBLIC_ADMIN_TOTAL","EDUCATION_SECTOR_TOTAL","HEALTHCARE_TOTAL","WHITECOLLAR","BLUECOLLAR","NOT_USE_PUBLIC_TRANSPORT"
"101021007","3418.35","0.4948","0.1188","0.0336","0.3621","0.1668","0.0775","0.0767","0.1142","0.3288","0.2355","0.3621","49","1582","594","250","1432","0.8","1.0830","2.3","0.3652","0.4973","0.1437","0.3601","0.3740","0.0026","0.0085","0.0031","0.0150","0.4124","0.0057","0.0085","0.0369","0.0026","0.0041","0.0049","0.1586","0.0207","0.0000","0.0023","0.0008","0.0021","0.0013","0.0054","0.0049","0.0021","0.1281","0.0010","0.0013","0.0065","0.0000","0.0000","0.0000","0.0090","0.0496","0.0283","0.4853","0.0000","0.0000","0.0000","0.0088","0.0054","0.3525","0.2578","0.5270","0.4563","0.3187","0.0812","0.0062","0.0661","0.0000","0.1783","0.1989","0.53400","0.04200","0.1124","0.3158","0.1146","0.1513","0.0079","0.0480","0.0936","0.0626","0.0134","0.0207","0.1239","0.0796","0.0723","0.1764","0.1268","0.7211"
"101021008","6.9825","0.5059","0.1603","0.1348","0.3771","0.1967","0.1353","0.1320","0.1346","0.2723","0.1285","0.3771","37","1928","812","300","2007","0.8","1.6920","2.6","0.2849","0.4409","0.1190","0.4396","0.3932","0.0090","0.0114","0.0141","0.0130","0.3459","0.0084","0.0046","0.0426","0.0099","0.0050","0.0095","0.1238","0.0508","0.0010","0.0022","0.0416","0.0084","0.0086","0.0055","0.0091","0.0045","0.0903","0.0129","0.0008","0.0027","0.0015","0.0011","0.0035","0.0056","0.0695","0.0870","0.6425","0.0065","0.0065","0.0004","0.0097","0.0075","0.2454","0.3089","0.7260","0.2926","0.3766","0.1205","0.0999","0.0472","0.0125","0.2980","0.1718","0.66300","0.04700","0.1164","0.2963","0.0914","0.0029","0.0017","0.0437","0.1166","0.0913","0.0163","0.0399","0.2239","0.0636","0.1047","0.1290","0.1655","0.8611"
"101021009","4.7634","0.4983","0.2472","0.2121","0.4416","0.1545","0.1102","0.2065","0.1435","0.2318","0.1529","0.4416","36","1733","837","280","1844","0.9","1.4000","2.1","0.3095","0.3874","0.1169","0.4955","0.3113","0.0045","0.0174","0.0094","0.0111","0.3309","0.0215","0.0040","0.0435","0.0172","0.0042","0.0393","0.1287","0.0392","0.0027","0.0020","0.0292","0.0074","0.0091","0.0076","0.0106","0.0030","0.0875","0.0091","0.0010","0.0045","0.0018","0.0004","0.0037","0.0057","0.1068","0.0907","0.5219","0.0241","0.0305","0.0009","0.0125","0.0206","0.2848","0.2960","0.6712","0.2192","0.2885","0.3123","0.0329","0.0835","0.0087","0.4519","0.1939","0.64500","0.05200","0.1894","0.4383","0.1221","0.0021","0.0016","0.0431","0.0927","0.0993","0.0123","0.0339","0.2227","0.0629","0.1187","0.1536","0.1455","0.8564"
"101021010","13.0034","0.4858","0.2484","0.2035","0.4885","0.1676","0.1222","0.2033","0.1331","0.2656","0.1093","0.4885","35","1842","883","270","2001","0.9","1.4340","2.2","0.3211","0.4200","0.1291","0.4479","0.3228","0.0063","0.0203","0.0150","0.0132","0.3460","0.0140","0.0071","0.0410","0.0123","0.0040","0.0554","0.1321","0.0320","0.0019","0.0031","0.0236","0.0077","0.0054","0.0077","0.0081","0.0048","0.0913","0.0065","0.0019","0.0067","0.0010","0.0000","0.0036","0.0054","0.1201","0.0673","0.5247","0.0389","0.0320","0.0017","0.0104","0.0263","0.2743","0.3408","0.4560","0.2340","0.2833","0.3236","0.0300","0.0685","0.0054","0.4537","0.1567","0.70000","0.05000","0.1884","0.4566","0.1493","0.0023","0.0023","0.0382","0.0922","0.1012","0.0178","0.0317","0.2259","0.0650","0.1099","0.1757","0.1559","0.8466"
"101021011","3054.41","0.4916","0.1301","0.0581","0.4504","0.2111","0.1144","0.1027","0.1414","0.3164","0.1139","0.4504","40","2405","1076","383","2672","0.8","2.4780","2.9","0.2426","0.5858","0.1273","0.2871","0.4176","0.0021","0.0074","0.0086","0.0206","0.3832","0.0041","0.0059","0.0477","0.0070","0.0037","0.0073","0.1262","0.0334","0.0008","0.0020","0.0058","0.0049","0.0018","0.0080","0.0076","0.0018","0.1025","0.0044","0.0025","0.0049","0.0012","0.0002","0.0010","0.0074","0.0595","0.0195","0.5361","0.0022","0.0030","0.0002","0.0056","0.0058","0.3247","0.3818","0.2226","0.3111","0.5495","0.0538","0.0000","0.0431","0.0011","0.1146","0.0725","0.67900","0.02900","0.1307","0.3455","0.1505","0.0269","0.0029","0.0317","0.1135","0.0616","0.0150","0.0244","0.2585","0.0792","0.0858","0.2156","0.1210","0.8133"
"101021012","13.6789","0.5023","0.1572","0.1070","0.4711","0.2311","0.1380","0.1156","0.1508","0.2918","0.0734","0.4711","36","2167","1118","370","2789","0.8","2.4790","2.9","0.2185","0.5517","0.0953","0.3529","0.3940","0.0040","0.0141","0.0128","0.0174","0.3675","0.0079","0.0054","0.0487","0.0113","0.0047","0.0138","0.1248","0.0545","0.0009","0.0028","0.0269","0.0074","0.0050","0.0093","0.0100","0.0040","0.1008","0.0090","0.0040","0.0044","0.0031","0.0021","0.0009","0.0075","0.0793","0.0367","0.6285","0.0078","0.0074","0.0010","0.0074","0.0066","0.2749","0.4333","0.3292","0.2495","0.4823","0.1255","0.0253","0.0372","0.0007","0.2475","0.0717","0.75900","0.03400","0.1372","0.3664","0.1746","0.0027","0.0022","0.0288","0.0880","0.0818","0.0161","0.0234","0.3255","0.0748","0.0829","0.2306","0.1083","0.8632"
"101031013","3989.36","0.4971","0.0803","0.0285","0.2766","0.1690","0.0916","0.0921","0.0967","0.3046","0.2402","0.2766","48","910","577","150","1397","0.7","1.0480","2.2","0.2171","0.4922","0.1195","0.3847","0.4573","0.0017","0.0059","0.0021","0.0063","0.4218","0.0013","0.0013","0.0490","0.0000","0.0000","0.0013","0.1092","0.0142","0.0071","0.0017","0.0000","0.0038","0.0033","0.0063","0.0029","0.0059","0.1172","0.0000","0.0000","0.0013","0.0000","0.0000","0.0000","0.0046","0.0305","0.0417","0.6887","0.0000","0.0000","0.0000","0.0038","0.0038","0.2167","0.2836","0.4724","0.4942","0.2476","0.0285","0.0116","0.1159","0.0105","0.2107","0.3077","0.56100","0.04500","0.1046","0.2610","0.0366","0.2962","0.0028","0.1003","0.0515","0.0731","0.0047","0.0216","0.0675","0.0684","0.0881","0.1548","0.1741","0.7779"
"101031014","103.637","0.4963","0.1449","0.0673","0.3088","0.1577","0.1124","0.1127","0.1114","0.2744","0.2296","0.3088","45","1186","608","225","1413","0.7","1.0090","2.2","0.2939","0.4461","0.1037","0.4508","0.3999","0.0024","0.0117","0.0025","0.0194","0.3684","0.0040","0.0050","0.0584","0.0049","0.0040","0.0044","0.1150","0.0270","0.0015","0.0111","0.0012","0.0028","0.0030","0.0083","0.0071","0.0025","0.1037","0.0024","0.0019","0.0021","0.0013","0.0006","0.0018","0.0044","0.0577","0.0440","0.5814","0.0062","0.0007","0.0004","0.0104","0.0036","0.2662","0.2340","0.9162","0.3572","0.2859","0.1814","0.0288","0.0698","0.0096","0.3062","0.2168","0.53600","0.04700","0.1308","0.3007","0.0590","0.0331","0.0041","0.0376","0.0817","0.1341","0.0200","0.0324","0.1024","0.0827","0.1189","0.1227","0.1373","0.8273"
"101031015","6250.88","0.4866","0.1244","0.0357","0.3445","0.1704","0.0948","0.0665","0.1067","0.3354","0.2247","0.3445","48","1560","634","150","1525","0.8","1.2280","2.4","0.3176","0.5629","0.1254","0.3142","0.3902","0.0012","0.0043","0.0021","0.0159","0.4241","0.0030","0.0058","0.0530","0.0064","0.0046","0.0024","0.1546","0.0192","0.0000","0.0037","0.0009","0.0024","0.0000","0.0079","0.0052","0.0058","0.1113","0.0000","0.0043","0.0009","0.0000","0.0000","0.0000","0.0070","0.0512","0.0074","0.5970","0.0043","0.0009","0.0009","0.0055","0.0055","0.2634","0.2843","0.2797","0.5016","0.3481","0.0287","0.0000","0.0616","0.0000","0.1215","0.1946","0.59700","0.03700","0.0893","0.2527","0.0628","0.2096","0.0076","0.0287","0.0809","0.0898","0.0127","0.0268","0.1089","0.0758","0.0720","0.1942","0.1442","0.7274"
"101031016","3939.55","0.4644","0.1319","0.0571","0.4280","0.1798","0.1249","0.1375","0.1420","0.2869","0.1292","0.4280","39","1500","761","270","1765","0.8","1.3970","2.4","0.2684","0.4520","0.1512","0.3966","0.4207","0.0004","0.0111","0.0045","0.0197","0.3912","0.0029","0.0079","0.0511","0.0040","0.0030","0.0014","0.1181","0.0222","0.0009","0.0016","0.0020","0.0040","0.0033","0.0104","0.0086","0.0046","0.1188","0.0014","0.0035","0.0030","0.0000","0.0026","0.0000","0.0062","0.0652","0.0469","0.4710","0.0026","0.0007","0.0014","0.0127","0.0042","0.3876","0.3499","0.3724","0.3315","0.3164","0.1366","0.0046","0.0861","0.0021","0.2836","0.1298","0.69600","0.01800","0.1759","0.3930","0.0710","0.0521","0.0054","0.0221","0.0680","0.0682","0.0313","0.0403","0.0636","0.0731","0.0541","0.1771","0.1821","0.7474"
