SA3 Code,Providers,Patients,Services,Benefits_paid,Fees_charged
10101,454.3,28086,67121,5647502.3,5755730.99
10102,385.61000000000007,17398,29585,2411287.6,2611210.3000000003
10103,193.8,4492,9065,677563.25,776812.01
10104,680.54,29890,74804,6648908.119999999,6844315.63
10201,1264.46,131613,290427,20791874.43,21256521.58
10202,975.3199999999999,108887,258536,18597882.8,18742440.35
10301,372.56,15616,30205,2707579.1,2727917.0599999996
10302,428.09000000000003,25309,56803,5439481.949999999,5559341.549999999
10303,336.28,18642,38497,3361694.61,3449659.7
10304,451.21,21678,45553,3760335.17,4042103.4899999998
10401,403.97,20110,52460,4844949.0,4902135.95
10402,842.95,66025,141190,13093841.350000001,13357285.800000003
10501,273.17,11818,25624,2805686.8000000003,2834950.47
10502,211.51000000000002,15212,38203,3508549.8,3509914.3000000003
10503,549.89,64058,140855,9145678.95,9274797.04
10601,486.93999999999994,38354,93275,7576707.35,7769800.430000001
10602,465.64,52887,100432,7251497.399999999,7871373.0
10603,539.79,38961,88746,8064461.149999999,8093729.550000001
10604,228.82,15556,32408,2911346.7500000005,2999415.5200000005
10701,501.41999999999996,69419,137204,9180724.549999999,9191212.4
10703,561.5500000000001,57742,122243,8559613.1,8566249.5
10704,1025.6799999999998,110397,232885,17936331.520000003,18137074.58
10801,314.86,19962,50344,4409202.5,4534835.7
10802,343.41999999999996,22572,60197,5221276.7,5252626.59
10803,7.81,171,242,25728.3,26694.5
10804,840.61,75363,190786,14896342.249999998,14925541.92
10805,390.6500000000001,27705,58448,5467932.2,5524574.079999999
10901,411.17,30931,70271,4878408.350000001,5048622.319999999
10902,57.959999999999994,4821,12543,959193.0,965947.7
10903,254.84,14750,38592,3195416.0999999996,3379466.0799999996
11001,292.76,10150,21464,1949592.7499999998,2024032.7300000002
11002,316.67999999999995,12985,29167,2331358.73,2385199.87
11003,172.53,7517,19598,1570781.1,1636409.35
11004,645.56,24836,50492,4923562.75,5024266.62
11101,1034.8300000000002,104485,209367,17002521.5,17328605.209999997
11102,510.83,46890,118863,7702978.100000001,7794367.380000001
11103,1456.66,133080,272051,22356518.57,23264973.48
11201,892.11,39484,111429,9538436.35,9645299.280000001
11202,445.75,27608,60463,5116720.77,5273417.8100000005
11203,694.86,58622,131537,10119349.6,10263915.819999998
11301,296.9,22254,49817,4097680.9,4182241.39
11302,91.67999999999999,5947,18234,1577088.3,1600987.83
11303,731.83,43415,90765,7936286.300000001,8166546.48
11401,894.31,43958,104594,9600997.75,9685197.12
11402,468.74,22791,54282,4510842.0,4716681.38
11501,977.32,101156,207591,14457962.799999997,15106564.2
11502,211.63,14987,37271,2899119.95,2916490.6
11504,207.76000000000002,44865,82267,5349570.05,5356061.95
11601,1103.8000000000002,132683,279775,19062609.249999996,19074255.1
11602,369.54999999999995,48896,93764,5638020.55,5649618.800000001
11603,643.3,114476,276415,15766417.700000001,15878444.100000001
11701,184.44000000000003,14226,29357,2157786.0,2164493.13
11702,276.57,37610,94965,5866492.75,5880858.649999999
11703,2022.18,150516,289900,22764903.15,25138772.330000002
11801,1047.3700000000001,80315,168835,11658360.0,13453983.68
11802,848.5800000000002,68823,156939,10374585.13,10876707.15
11901,1088.5700000000002,179287,373764,28257764.049999993,28419096.349999998
11902,793.12,123986,299418,19969042.5,19974398.600000005
11903,697.87,63284,127023,9638547.3,9731083.830000002
11904,746.9599999999999,81891,191111,11939302.78,12229369.62
12001,640.77,48926,99753,8423140.25,8621473.89
12002,508.05,42265,81466,5826288.600000001,6001255.449999999
12003,1010.99,86023,186468,13587423.500000002,13900115.25
12101,1072.07,220179,385993,35441811.85000001,36385341.12
12102,567.23,50459,100517,6730260.100000001,6949929.42
12103,755.5199999999999,39275,91394,7353702.25,9485977.59
12104,713.54,34042,68270,5496339.199999999,6535300.149999999
12201,210.8,8767,18162,1398714.4200000002,1661465.82
12202,314.44999999999993,29086,57361,3947273.6,4190108.35
12203,861.47,91200,191001,12854423.390000002,13191649.029999997
12301,336.86999999999995,45697,90509,6103690.9,6206507.7
12302,1010.4199999999998,164333,378264,23139345.069999997,23224185.36
12303,114.21000000000001,11358,19267,1473176.51,1473123.5599999998
12401,542.6800000000001,30985,72652,5628890.95,5721242.08
12403,782.5,107953,211257,13276224.03,13338947.270000001
12404,382.61999999999995,38326,73565,5528412.9,5561756.31
12405,330.03,42520,88859,5650503.0,5650862.399999999
12501,476.97999999999996,77993,153908,9859540.5,9902591.360000001
12502,313.2099999999999,26938,64605,4856303.300000001,4897378.4
12503,714.7299999999999,79362,175767,11374279.649999999,11389275.17
