SA4_CODE_2016,SA4_NAME_2016,,SA4_2011,Sw_amt,Alow_ben_amt,ETP_txbl_amt,Grs_int_amt,Aust_govt_pnsn_allw_amt,Unfranked_Div_amt,Frk_Div_amt,Dividends_franking_cr_amt,Net_rent_amt,Gross_rent_amt,Other_rent_ded_amt,Rent_int_ded_amt,Rent_cap_wks_amt,Net_farm_management_amt,Net_PP_BI_amt,Net_NPP_BI_amt,Total_PP_BI_amt,Total_NPP_BI_amt,Total_PP_BE_amt,Total_NPP_BE_amt,Net_CG_amt,Tot_CY_CG_amt,Net_PT_PP_dsn,Net_PT_NPP_dsn,Taxed_othr_pnsn_amt,Untaxed_othr_pnsn_amt,Other_foreign_inc_amt,Other_inc_amt,Tot_inc_amt,WRE_car_amt,WRE_trvl_amt,WRE_uniform_amt,WRE_self_amt,WRE_other_amt,Div_Ded_amt,Intrst_Ded_amt,Gift_amt,Non_emp_spr_amt,Cost_tax_affairs_amt,Other_Ded_amt,Tot_ded_amt,PP_loss_claimed,NPP_loss_claimed,Rep_frng_ben_amt,Med_Exp_TO_amt,Asbl_forgn_source_incm_amt,Spouse_adjusted_taxable_inc,Net_fincl_invstmt_lss_amt,Rptbl_Empr_spr_cont_amt,Cr_PAYG_ITI_amt,TFN_amts_wheld_gr_intst_amt,TFN_amts_wheld_divs_amt,Hrs_to_prepare_BPI_cnt,Taxable_Income,Help_debt,MCS_Emplr_Contr,MCS_Prsnl_Contr,MCS_Othr_Contr,MCS_Ttl_Acnt_Bal
401,Adelaide - Central and Hills,,Adelaide - Central and Hills,42231.37599,594.098557,230.1677103,1182.783011,925.1173428,123.2676286,4353.083583,1865.271168,-433.3449496,3290.927852,1676.535257,1849.485162,198.2523822,-6.948543425,37.79063436,3850.583719,292.5088484,8916.454669,203.4317996,5040.295399,1275.372992,3114.121971,83.22651783,8029.857065,166.436428,1345.407024,169.0884835,1809.235502,67831.89028,593.8227607,133.7225701,83.46065886,76.50639804,576.8821127,135.0887558,41.34304383,608.25211,517.0495508,213.9700517,309.2970324,3289.395045,13.90389328,68.82684454,1639.85407,15.68037027,367.631364,43345.43833,40.11434794,1451.46447,3588.25456,9.82058263,2.92621835,0.04465015,64524.42853,2408.276069,4955.384155,3751.671658,754.5965151,149624.7005
402,Adelaide - North,,Adelaide - North,39515.99466,477.6139287,129.0664887,493.4040281,1124.910216,25.02135404,508.4974521,217.942975,-418.7396263,1760.799806,900.7092939,1132.297986,146.5321524,0,-15.05023053,1582.372482,126.7670468,3814.582626,114.3994176,2193.761951,165.1138073,410.6039796,116.7886435,2320.923805,71.87357438,895.9107013,65.41276389,1022.745693,48299.8066,554.41058,127.7908275,141.5569037,50.67386557,444.3921378,21.28779422,6.79058481,135.9376365,163.5365203,137.0735258,107.3355982,1890.785974,19.25649114,15.74909003,1116.131036,9.182237321,116.930842,26830.20019,6.104100946,540.4117933,584.4736714,3.437515166,0.490900267,0.09148265,46419.64426,1575.271536,3739.25819,1402.703227,660.4156758,81402.05848
403,Adelaide - South,,Adelaide - South,39789.78876,407.5396543,250.9499237,771.7104728,1219.672852,53.49415353,2002.898068,854.9046772,-477.7679207,2219.389171,1137.12786,1402.490086,157.5391459,-41.44636502,17.7191154,1864.615658,69.36476868,5731.036858,50.16725979,3788.963396,504.6540417,1654.30605,111.247331,4015.966955,141.8805287,1191.21759,25.39654296,1362.588205,54067.07905,582.1700559,104.8223183,112.1042196,53.12328419,518.121759,80.13497712,35.54499237,163.9405186,308.1204881,118.8571429,131.0193188,2207.959075,4.086680224,41.7808846,1767.237672,15.60549059,183.3978139,33242.01576,59.94890696,968.6184545,1005.653025,4.312913066,0.096593798,0.026436197,51843.68073,2040.894255,4204.142603,2120.449161,719.1169293,105284.6327
404,Adelaide - West,,Adelaide - West,40478.98558,406.3237179,140.463141,834.3205128,1006.25,38.27323718,965.3978365,413.1590545,-301.2307692,2306.850561,1123.524038,1313.038061,171.5192308,0,-4.798878205,1240.674279,6.366987179,3864.758814,11.16586538,2565.054087,245.7736378,598.3858173,-250.5420673,3548.293269,136.1370192,1163.005208,22.78245192,1393.424679,51476.69511,601.6233974,116.177484,120.2664263,50.17347756,484.5552885,54.41666667,95.36538462,102.5472756,245.1229968,179.6730769,116.5220353,2166.44351,32.34815705,25.98878205,1156.201122,9.141025641,175.9763622,29612.64022,39.03485577,756.8982372,743.7171474,5.924278846,0.256009615,0.06650641,49294.2484,2066.791667,4284.579728,1799.671474,306.099359,97529.90785
801,Australian Capital Territory,,Australian Capital Territory,53013.13219,493.6165924,272.0732018,1000.971992,611.5970719,63.19859962,1386.633779,593.9898154,-978.2847443,3718.668576,2028.263526,2277.804795,390.8849989,0,-33.00572884,1564.607469,47.4046255,4348.346488,64.38616592,2735.717377,746.1695311,2242.539147,-164.0519839,3198.380225,152.8529599,4079.373435,66.81222151,1421.988542,67490.05538,478.9828135,109.5158073,78.4797369,95.68470189,467.5090176,220.9119457,40.26352642,355.5376618,297.8164651,182.1688945,162.4035646,2489.274135,4.014215998,15.87205602,1003.261405,24.42881392,274.9365585,43827.37853,32.13430936,985.7080416,1009.169107,9.686399321,0.36176533,0.039889667,65083.62317,2351.03607,4814.302355,4753.357946,1783.405686,161058.7346
201,Ballarat,,Ballarat,36017.46667,678.1235474,136.8103976,824.6012232,1311.194495,52.50764526,1230.605505,527.3608563,-71.28379205,1929.914985,994.240367,922.6801223,84.27828746,68.31498471,-89.43853211,1389.582875,553.8018349,6003.336391,604.2262997,4599.907645,483.0452599,1090.001835,213.1394495,3107.851988,207.1217125,266.582263,14.51681957,1367.684404,47735.78777,811.4,176.075841,157.0391437,52.90275229,621.440367,75.08807339,52.13211009,110.7651376,328.2948012,161.1547401,96.29174312,2642.584709,100.5987768,150.0348624,1399.502141,15.89724771,117.8929664,26958.7419,49.97370031,769.1186544,764.3889908,7.009174312,1.03853211,0.108256881,44846.70031,1864.994495,3677.888685,2708.308257,586.4788991,104236.608
405,Barossa - Yorke - Mid North,,Barossa - Yorke - Mid North,32534.71142,256.1761116,549.9285092,1116.669573,1034.420227,63.15518745,896.505667,383.6338274,-118.401918,1599.444638,813.2214473,807.0610288,97.56408021,-385.1857018,-117.9494333,872.4385353,1966.714037,25976.85179,1934.515257,25051.1456,363.8273758,849.6294682,4608.80558,4927.473409,98.44202267,944.951177,8.508282476,2236.882302,50275.00697,471.8666085,243.9581517,124.5710549,52.26329555,388.0209241,17.32693984,20.74978204,88.95204882,924.4960767,129.7802964,112.516129,2574.501308,272.4149956,82.47340889,982.0993897,8.027898867,44.57192677,33488.42633,7.123801221,635.1830863,1678.127289,2.798605057,0.452484743,0.056669573,47400.69922,733.8544028,3527.073235,3421.481255,200.8788143,102761.8701
202,Bendigo,,Bendigo,35327.86239,434.6,87.34434251,1162.979205,1133.029358,60.9088685,2932.140673,1254.537003,-51.09602446,1872.621407,872.4819572,945.3186544,105.9168196,-24.31681957,10.41223242,1273.80367,293.7767584,6365.329052,290.2183486,5015.034862,626.6727829,1532.82263,151.6703364,3737.634251,105.848318,419.4996942,34.0030581,1330.801223,50008.33456,583.4324159,135.1107034,132.275841,43.22996942,541.475841,17.89602446,15.65565749,204.6220183,297.511315,127.3449541,103.3865443,2201.941284,55.86544343,34.58165138,1660.379817,13.35902141,106.2348624,29560.27339,12.66850153,704.4006116,1015.809786,2.664220183,0.190214067,0.013455657,47928.89419,1841.305199,3657.957187,2974.332722,397.3284404,100252.5468
301,Brisbane - East,,Brisbane - East,47445.57484,1036.751592,508.2492038,810.5664809,694.482086,27.05015924,1296.449841,555.2762739,-452.3228503,3013.681927,1513.000796,1740.728901,212.2750796,0,7.82683121,1419.098328,42.03343949,3903.421975,29.34832803,2472.509156,902.6871019,1860.86465,46.78184713,4703.55414,201.7085987,377.0234873,70.76950637,1583.576831,61235.10589,743.4542197,200.4932325,131.2428344,69.3160828,554.5274682,44.03184713,47.19426752,190.4617834,287.2101911,146.4355096,194.9570064,2609.324443,0,54.59036624,998.6536624,18.28861465,351.4175955,39218.63217,66.76910828,1029.45422,872.3443471,7.571656051,0.132961783,0.072452229,58589.93949,1366.245621,5013.836783,1992.870621,928.5855892,120841.377
302,Brisbane - North,,Brisbane - North,47469.17083,599.1446414,245.3791297,695.7933118,916.7542305,49.48831587,2030.026189,869.491942,-512.093473,2641.685737,1379.70145,1559.288477,214.7892828,0.475423046,38.67163578,1716.068493,55.09669621,4970.584609,16.42546334,3206.217969,843.666801,1828.459307,7.476228848,3160.952055,109.4717969,385.6796938,64.69863014,1378.215149,60068.53102,632.317083,207.3360193,121.4033038,74.20910556,543.268332,148.7989525,44.59427881,172.0878324,165.609589,135.5096696,158.2518131,2403.385979,0,16.60515713,1122.460919,16.40209508,276.5660757,34007.93997,56.37308622,896.5237712,828.7054795,6.81385979,0.264705882,0.051571313,57671.17405,2173.760274,4756.715552,1784.123288,771.7280419,103672.921
