,min_loss,i_vals,supervised,no_fold_vals,reverseLinkagePosition,linkagePosition,linkageActFun,linkageBatchNorm,linkageNeurons,auxilaryEmbedding1,auxilaryEmbedding2,auxilaryGraph
0,1785.4056396484375,0,True,5,None,None,True,True,,False,False,False
1,1848.5234375,1,True,5,None,None,True,True,,False,False,False
2,1921.9586181640625,2,True,5,None,None,True,True,,False,False,False
3,1873.651123046875,3,True,5,None,None,True,True,,False,False,False
4,1801.754638671875,4,True,5,None,None,True,True,,False,False,False
5,1770.466796875,0,False,5,None,None,True,True,,False,False,False
6,1858.5902099609375,1,False,5,None,None,True,True,,False,False,False
7,1759.625244140625,2,False,5,None,None,True,True,,False,False,False
8,1785.207763671875,3,False,5,None,None,True,True,,False,False,False
9,1825.390380859375,4,False,5,None,None,True,True,,False,False,False
10,1913.5113525390625,0,False,10,None,None,True,True,,False,False,False
11,1998.5067138671875,1,False,10,None,None,True,True,,False,False,False
12,1704.526611328125,2,False,10,None,None,True,True,,False,False,False
13,1786.9002685546875,3,False,10,None,None,True,True,,False,False,False
14,1894.90576171875,4,False,10,None,None,True,True,,False,False,False
15,1870.2550048828125,5,False,10,None,None,True,True,,False,False,False
16,1782.0928955078125,6,False,10,None,None,True,True,,False,False,False
17,1874.766845703125,7,False,10,None,None,True,True,,False,False,False
18,1882.149169921875,8,False,10,None,None,True,True,,False,False,False
19,1903.7249755859375,9,False,10,None,None,True,True,,False,False,False
0,1812.478271484375,0,True,5,Early,Late,False,True,,False,False,True
1,1883.3275146484375,1,True,5,Early,Late,False,True,,False,False,True
2,1942.0816650390625,2,True,5,Early,Late,False,True,,False,False,True
3,1908.720458984375,3,True,5,Early,Late,False,True,,False,False,True
4,1914.929931640625,4,True,5,Early,Late,False,True,,False,False,True
5,1866.9041748046875,0,False,5,Early,Late,False,True,,False,False,True
6,1950.1929931640625,1,False,5,Early,Late,False,True,,False,False,True
7,1923.982421875,2,False,5,Early,Late,False,True,,False,False,True
8,1855.4415283203125,3,False,5,Early,Late,False,True,,False,False,True
9,1843.6112060546875,4,False,5,Early,Late,False,True,,False,False,True
10,1935.4432373046875,0,False,10,Early,Late,False,True,,False,False,True
11,1828.6427001953125,1,False,10,Early,Late,False,True,,False,False,True
12,1879.9647216796875,2,False,10,Early,Late,False,True,,False,False,True
13,1838.20361328125,3,False,10,Early,Late,False,True,,False,False,True
14,1975.252685546875,4,False,10,Early,Late,False,True,,False,False,True
15,1910.4786376953125,5,False,10,Early,Late,False,True,,False,False,True
16,1888.7178955078125,6,False,10,Early,Late,False,True,,False,False,True
17,1921.2611083984375,7,False,10,Early,Late,False,True,,False,False,True
18,1770.076904296875,8,False,10,Early,Late,False,True,,False,False,True
19,1900.9627685546875,9,False,10,Early,Late,False,True,,False,False,True
