,i_vals,min_loss,no_fold_vals,supervised,auxilaryEmbedding1,auxilaryEmbedding2,auxilaryGraph,linkageActFun,linkageBatchNorm,linkageNeurons,linkagePosition,reverseLinkagePosition
0,0,3.7424068450927734,5,True,False,False,False,True,True,,None,None
1,1,3.90883207321167,5,True,False,False,False,True,True,,None,None
2,2,4.5932159423828125,5,True,False,False,False,True,True,,None,None
3,3,4.577389717102051,5,True,False,False,False,True,True,,None,None
4,4,4.376711368560791,5,True,False,False,False,True,True,,None,None
5,0,9.226991653442383,5,False,False,False,False,True,True,,None,None
6,1,8.997964859008789,5,False,False,False,False,True,True,,None,None
7,2,9.288256645202637,5,False,False,False,False,True,True,,None,None
8,3,9.760001182556152,5,False,False,False,False,True,True,,None,None
9,4,8.562723159790039,5,False,False,False,False,True,True,,None,None
10,0,14.638168334960938,10,False,False,False,False,True,True,,None,None
11,1,13.43795108795166,10,False,False,False,False,True,True,,None,None
12,2,13.437552452087402,10,False,False,False,False,True,True,,None,None
13,3,13.04799747467041,10,False,False,False,False,True,True,,None,None
14,4,13.031859397888184,10,False,False,False,False,True,True,,None,None
15,5,14.057190895080566,10,False,False,False,False,True,True,,None,None
16,6,14.220664024353027,10,False,False,False,False,True,True,,None,None
17,7,15.234328269958496,10,False,False,False,False,True,True,,None,None
18,8,13.799931526184082,10,False,False,False,False,True,True,,None,None
19,9,15.31269645690918,10,False,False,False,False,True,True,,None,None
0,0,3.231710195541382,5,True,False,False,True,False,True,,Late,Early
1,1,2.8747177124023438,5,True,False,False,True,False,True,,Late,Early
2,2,4.075677394866943,5,True,False,False,True,False,True,,Late,Early
3,3,3.8394882678985596,5,True,False,False,True,False,True,,Late,Early
4,4,3.9963881969451904,5,True,False,False,True,False,True,,Late,Early
5,0,7.653904914855957,5,False,False,False,True,False,True,,Late,Early
6,1,7.064701557159424,5,False,False,False,True,False,True,,Late,Early
7,2,6.50632381439209,5,False,False,False,True,False,True,,Late,Early
8,3,8.585923194885254,5,False,False,False,True,False,True,,Late,Early
9,4,7.1812567710876465,5,False,False,False,True,False,True,,Late,Early
10,0,17.156648635864258,10,False,False,False,True,False,True,,Late,Early
11,1,10.798151016235352,10,False,False,False,True,False,True,,Late,Early
12,2,13.227826118469238,10,False,False,False,True,False,True,,Late,Early
13,3,11.099992752075195,10,False,False,False,True,False,True,,Late,Early
14,4,12.492429733276367,10,False,False,False,True,False,True,,Late,Early
15,5,13.829516410827637,10,False,False,False,True,False,True,,Late,Early
16,6,13.677775382995605,10,False,False,False,True,False,True,,Late,Early
17,7,13.146184921264648,10,False,False,False,True,False,True,,Late,Early
18,8,11.608419418334961,10,False,False,False,True,False,True,,Late,Early
19,9,13.431912422180176,10,False,False,False,True,False,True,,Late,Early
0,0,4.909573554992676,5,True,False,False,True,True,True,,Late,Early
1,1,4.8968329429626465,5,True,False,False,True,True,True,,Late,Early
2,2,5.250233173370361,5,True,False,False,True,True,True,,Late,Early
3,3,6.3119120597839355,5,True,False,False,True,True,True,,Late,Early
4,4,5.772232532501221,5,True,False,False,True,True,True,,Late,Early
5,0,7.957666873931885,5,False,False,False,True,True,True,,Late,Early
6,1,7.174563884735107,5,False,False,False,True,True,True,,Late,Early
7,2,7.993874549865723,5,False,False,False,True,True,True,,Late,Early
8,3,9.0377197265625,5,False,False,False,True,True,True,,Late,Early
9,4,7.364508628845215,5,False,False,False,True,True,True,,Late,Early
10,0,14.70834732055664,10,False,False,False,True,True,True,,Late,Early
11,1,11.940659523010254,10,False,False,False,True,True,True,,Late,Early
12,2,14.30874252319336,10,False,False,False,True,True,True,,Late,Early
13,3,11.959589958190918,10,False,False,False,True,True,True,,Late,Early
14,4,13.358659744262695,10,False,False,False,True,True,True,,Late,Early
15,5,13.609306335449219,10,False,False,False,True,True,True,,Late,Early
16,6,15.861166000366211,10,False,False,False,True,True,True,,Late,Early
17,7,11.972695350646973,10,False,False,False,True,True,True,,Late,Early
18,8,11.692891120910645,10,False,False,False,True,True,True,,Late,Early
19,9,11.17221450805664,10,False,False,False,True,True,True,,Late,Early
