,i_vals,loss,min_loss,no_fold_vals,supervised,auxilaryEmbedding1,auxilaryEmbedding2,auxilaryGraph,linkageActFun,linkageBatchNorm,linkageNeurons,linkagePosition,reverseLinkagePosition
0,0,4.329917907714844,3.6370625495910645,5,True,False,False,True,False,False,,Late,Early
1,1,3.8266875743865967,3.2128312587738037,5,True,False,False,True,False,False,,Late,Early
2,2,4.110424041748047,3.739454746246338,5,True,False,False,True,False,False,,Late,Early
3,3,4.328400135040283,4.0154128074646,5,True,False,False,True,False,False,,Late,Early
4,4,4.271012306213379,3.8905622959136963,5,True,False,False,True,False,False,,Late,Early
5,0,7.3931756019592285,6.593804836273193,5,False,False,False,True,False,False,,Late,Early
6,1,7.1171770095825195,6.921490669250488,5,False,False,False,True,False,False,,Late,Early
7,2,6.8094482421875,6.444530010223389,5,False,False,False,True,False,False,,Late,Early
8,3,9.273171424865723,8.158793449401855,5,False,False,False,True,False,False,,Late,Early
9,4,8.022618293762207,7.515413761138916,5,False,False,False,True,False,False,,Late,Early
10,0,12.563838958740234,12.210980415344238,10,False,False,False,True,False,False,,Late,Early
11,1,10.625706672668457,10.45120620727539,10,False,False,False,True,False,False,,Late,Early
12,2,10.93173885345459,10.439006805419922,10,False,False,False,True,False,False,,Late,Early
13,3,12.389405250549316,11.668645858764648,10,False,False,False,True,False,False,,Late,Early
14,4,12.182168960571289,11.16388988494873,10,False,False,False,True,False,False,,Late,Early
15,5,12.081093788146973,11.523656845092773,10,False,False,False,True,False,False,,Late,Early
16,6,12.996329307556152,12.727166175842285,10,False,False,False,True,False,False,,Late,Early
17,7,11.60190486907959,11.12024974822998,10,False,False,False,True,False,False,,Late,Early
18,8,11.940638542175293,10.38825798034668,10,False,False,False,True,False,False,,Late,Early
19,9,15.102996826171875,14.47087574005127,10,False,False,False,True,False,False,,Late,Early
0,0,8.49236011505127,5.645876407623291,5,True,False,False,True,True,False,,Late,Early
1,1,8.812357902526855,6.277946472167969,5,True,False,False,True,True,False,,Late,Early
2,2,8.235831260681152,6.922837257385254,5,True,False,False,True,True,False,,Late,Early
3,3,7.935670375823975,5.863199710845947,5,True,False,False,True,True,False,,Late,Early
4,4,8.148351669311523,6.1690216064453125,5,True,False,False,True,True,False,,Late,Early
